Informazioni cronologiche,Indirizzo email,Title,Author list,Conference,Year,Category,Section,Sub-section,Short description (1-2 lines),Link paper,Link page,Link code,Link video,Note,Git Command
,,Detecting Snap Points in Egocentric Video with a Web Photo Prior, Bo Xiong and Kristen Grauman,ECCV,2014,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://www.cs.utexas.edu/~grauman/papers/bo-eccv2014.pdf,,http://vision.cs.utexas.edu/projects/ego_snappoints/#code,,,
,,3D Hand Pose Detection in Egocentric RGB-D Images," Grégory Rogez, Maryam Khademi, J. S. Supančič III, J. M. M. Montiel, Deva Ramanan",WECCV,2014,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://link.springer.com/chapter/10.1007/978-3-319-16178-5_25,,,,,
,,Pixel-level hand detection in ego-centric videos,"Li, Cheng, Kris M. Kitani",CVPR,2013,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://www.cv-foundation.org/openaccess/content_cvpr_2013/papers/Li_Pixel-Level_Hand_Detection_2013_CVPR_paper.pdf,,https://github.com/irllabs/handtrack,https://youtu.be/N756YmLpZyY,,
,,Learning to recognize objects in egocentric activities," Fathi, A., Ren, X., & Rehg, J. M.",CVPR,2011,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://homes.cs.washington.edu/~xren/publication/fathi_cvpr11_egocentric_objects.pdf,,,,,
,,Context-based vision system for place and object recognition," Torralba, A., Murphy, K. P., Freeman, W. T., & Rubin, M. A.",ICCV,2003,Papers,Action/Activity Recognition,Hand-Object Interactions,,https://www.cs.ubc.ca/~murphyk/Papers/iccv03.pdf,,,,,
,,Domain Generalization through Audio-Visual Relative Norm Alignment in First Person Action Recognition," Mirco Planamente, Chiara Plizzari, Emanuele Alberti, Barbara Caputo",WACV,2022,Papers,Action/Activity Recognition,Usupervised Domain Adaptation,,https://arxiv.org/abs/2110.10101,,,,,
,,Differentiated Learning for Multi-Modal Domain Adaptation," Jianming Lv, Kaijie Liu, Shengfeng He",MM,2021,Papers,Action/Activity Recognition,Usupervised Domain Adaptation,,https://dl.acm.org/doi/pdf/10.1145/3474085.3475660?casa_token=wOh7PYXIrGoAAAAA:WBP-sajm70r9KKNqNcwM7RIMW9D_re7MC56V10yq3_GCh4JafS_JegifZJ8--87l5TEcucuGaTYM,,,,,
,,Domain Adaptation in Multi-View Embedding for Cross-Modal Video Retrieval," Jonathan Munro, Michael Wray, Diane Larlus, Gabriela Csurka, Dima Damen",,2021,Papers,Action/Activity Recognition,Usupervised Domain Adaptation,,https://arxiv.org/abs/2110.12812,,,,,
,,Contrast and Mix: Temporal Contrastive Video Domain Adaptation with Background Mixing," Aadarsh Sahoo, Rutav Shah, Rameswar Panda, Kate Saenko, Abir Das",NIPS,2021,Papers,Action/Activity Recognition,Usupervised Domain Adaptation,,https://openreview.net/forum?id=a1wQOh27zcy,,,,,
,,Learning Cross-modal Contrastive Features for Video Domain Adaptation," Donghyun Kim, Yi-Hsuan Tsai, Bingbing Zhuang, Xiang Yu, Stan Sclaroff, Kate Saenko, Manmohan Chandraker",ICCV,2021,Papers,Action/Activity Recognition,Usupervised Domain Adaptation,,https://openaccess.thecvf.com/content/ICCV2021/papers/Kim_Learning_Cross-Modal_Contrastive_Features_for_Video_Domain_Adaptation_ICCV_2021_paper.pdf,,,,,
,,Spatio-temporal Contrastive Domain Adaptation for Action Recognition," Xiaolin Song, Sicheng Zhao, Jingyu Yang, Huanjing Yue, Pengfei Xu, Runbo Hu, Hua Chai",CVPR,2021,Papers,Action/Activity Recognition,Usupervised Domain Adaptation,,https://openaccess.thecvf.com/content/CVPR2021/html/Song_Spatio-temporal_Contrastive_Domain_Adaptation_for_Action_Recognition_CVPR_2021_paper.html,,,,,
,,Multi-Modal Domain Adaptation for Fine-Grained Action Recognition," Jonathan Munro, Dima Damen",CVPR,2020,Papers,Action/Activity Recognition,Usupervised Domain Adaptation,,https://openaccess.thecvf.com/content_CVPR_2020/html/Munro_Multi-Modal_Domain_Adaptation_for_Fine-Grained_Action_Recognition_CVPR_2020_paper.html,,,,,
,,Domain Generalization through Audio-Visual Relative Norm Alignment in First Person Action Recognition," Mirco Planamente, Chiara Plizzari, Emanuele Alberti, Barbara Caputo",WACV,2022,Papers,Action/Activity Recognition,Domain Generalization,,https://arxiv.org/abs/2110.10101,,,,,
,,Action Anticipation Using Pairwise Human-Object Interactions and Transformers, Debaditya Roy; Basura Fernando,TIP,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://ieeexplore.ieee.org/abstract/document/9546623?casa_token=S642phYzKBsAAAAA:N3U0R4Hj7qiWztApTVHFJitkK8zFux5RTqTzjE6fRaT8luL4gVW-l-Fzoqd-K4u0x0bHvGgpjPI,,,,,
,,Higher Order Recurrent Space-Time Transformer for Video Action Prediction," Tsung-Ming Tai, Giuseppe Fiameni, Cheng-Kuang Lee, Oswald Lanz",ArXiv,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://arxiv.org/abs/2104.08665,,,,,
,,Anticipating Human Actions by Correlating Past With the Future With Jaccard Similarity Measures," Basura Fernando, Samitha Herath",CVPR,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://openaccess.thecvf.com/content/CVPR2021/html/Fernando_Anticipating_Human_Actions_by_Correlating_Past_With_the_Future_With_CVPR_2021_paper.html,,,,,
,,Towards Streaming Egocentric Action Anticipation," Antonino Furnari, Giovanni Maria Farinella",arXiv,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://arxiv.org/abs/2110.05386,,,,,
,,Multimodal Global Relation Knowledge Distillation for Egocentric Action Anticipation," Y Huang, X Yang, C Xu",ACM,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://dl.acm.org/doi/abs/10.1145/3474085.3475327?casa_token=S_eM0ZcL9G8AAAAA:n9-Xa3-WzAD5NGx9h9WA7ZnBFW5Xzv-QYu-wWYtUaqpYAagALI37qL1rc3WWawgiNf_0VrtOWX0,,,,,
,,Multi-Modal Temporal Convolutional Network for Anticipating Actions in Egocentric Videos," Olga Zatsarynna, Yazan Abu Farha, Juergen Gall",CVPRW,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://openaccess.thecvf.com/content/CVPR2021W/Precognition/html/Zatsarynna_Multi-Modal_Temporal_Convolutional_Network_for_Anticipating_Actions_in_Egocentric_Videos_CVPRW_2021_paper.html,,,,,
,,Self-Regulated Learning for Egocentric Video Activity Anticipation, Zhaobo Qi; Shuhui Wang; Chi Su; Li Su; Qingming Huang; Qi Tian,T-PAMI,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34,,,,,
,,Anticipative Video Transformer," Rohit Girdhar, Kristen Grauman",ICCV,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,https://arxiv.org/abs/2106.02036,,,,,
,,What If We Could Not See? Counterfactual Analysis for Egocentric Action Anticipation," T Zhang, W Min, J Yang, T Liu, S Jiang, Y Rui",IJCAI,2021,Papers,Action Anticipation,Short-Term Action Anticipation,,ijcai.org/proceedings/2021/182,,,,,
,,Rolling-Unrolling LSTMs for Action Anticipation from First-Person Video," Antonino Furnari, Giovanni Maria Farinella",T-PAMI,2020,Papers,Action Anticipation,Short-Term Action Anticipation,,https://arxiv.org/abs/2005.02190,,,,,
,,Knowledge Distillation for Action Anticipation via Label Smoothing," Guglielmo Camporese, Pasquale Coscia, Antonino Furnari, Giovanni Maria Farinella, Lamberto Ballan",ICPR,2020,Papers,Action Anticipation,Short-Term Action Anticipation,,https://arxiv.org/abs/2004.07711,,,,,
,,An Egocentric Action Anticipation Framework via Fusing Intuition and Analysis," Tianyu Zhang, Weiqing Min, Ying Zhu, Yong Rui, Shuqiang Jiang",ACM,2020,Papers,Action Anticipation,Short-Term Action Anticipation,,https://dl.acm.org/doi/10.1145/3394171.3413964,,,,,
,,What Would You Expect? Anticipating Egocentric Actions with Rolling-Unrolling LSTMs and Modality Attention," Antonino Furnari, Giovanni Maria Farinella",ICCV,2019,Papers,Action Anticipation,Short-Term Action Anticipation,,https://arxiv.org/pdf/1905.09035,,https://github.com/fpv-iplab/rulstm,,,
,,Forecasting Human-Object Interaction: Joint Prediction of Motor Attention and Actions in First Person Video," Miao Liu, Siyu Tang, Yin Li, James M. Rehg",ECCV,2020,Papers,Action Anticipation,Short-Term Action Anticipation,,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123460681.pdf,,,,,
,,Leveraging the Present to Anticipate the Future in Videos," Antoine Miech, Ivan Laptev, Josef Sivic, Heng Wang, Lorenzo Torresani, Du Tran",CVPRW,2019,Papers,Action Anticipation,Short-Term Action Anticipation,,https://arxiv.org/abs/2004.07711,,,,,
,,Zero-Shot Anticipation for Instructional Activities," Fadime Sener, Angela Yao",ICCV,2019,Papers,Action Anticipation,Short-Term Action Anticipation,,https://ieeexplore.ieee.org/document/9008304,,,,,
,,Learning to Anticipate Egocentric Actions by Imagination," Yu Wu, Linchao Zhu, Xiaohan Wang, Yi Yang, Fei Wu",TIP,2021,Papers,Action Anticipation,Long-Term Action Anticipation,,https://arxiv.org/pdf/2101.04924.pdf,,,,,
,,On Diverse Asynchronous Activity Anticipation, He Zhao and Richard P. Wildes,ECCV,2020,Papers,Action Anticipation,Long-Term Action Anticipation,,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123740766.pdf,,,,,
